Name,BSE Code,NSE Code,Industry,Current Price,Market Capitalization,Free Float,Price to Earning,Price to book value,Dividend yield,Debt to equity,High price,Low price,EASYVESTSCORE,Soundness Score,Holding Score,Strength Score,Quality Score,Growth Score,Short Term Growth Score,AVG GS,Sentiment Score,Growth Rate,Return over 3years,Return over 1year,Return over 6months,Return over 3months,Return over 1month,Volume,Avg Value,Entry,Target,Stop Loss,First Target,Second Target,Third Target,Stop Loss per cent,Target Per cent,RR,EPS  AVG,EPS,Return on capital employed,Return on assets,Return on equity,Price to Sales,Price to Free Cash Flow,EVEBITDA,Minimum Volume,AVG MC,Fourth Target,Fifth Target,volt,G Factor,Is company taking new Debt
Elegant Marbles,526705,,Miscellaneous,279.25,102.21,26.65,21.56,0.79,1.18,0,364,139.05,0,83.48,100,97.14,48.28,42.11,0,28.07,80,16.77,23.02,98.05,-16.14,1.43,-5.02,2765,0.08,310.33,237.78,277.55,237.78,277.58,343.12,0.61,-14.85,-24.19,16.65,11.07,5.42,3.82,4.03,2.99,56.05,14.32,0.29,93.06,449.14,620.7,1.11,4,0
Chowgule Steam,501833,,Shipping,28.09,101.99,25.18,29.39,2.36,0,0,36.51,13.13,0,79.48,100,85.71,48.28,36.84,19.05,30.91,35,36.8,71.38,87.27,103.26,43.39,-5.29,9903,0.03,33.95,24.9,30.87,24.9,29.06,35.92,-8.99,-11.37,1.26,0.93,2.04,10.27,7.23,8.78,24.94,10.26,22.58,0.11,90.1,47.02,64.99,1.12,2,0
Shetron,526137,,Packaging,113.25,101.93,34.45,15.61,1.81,0.88,1.07,153.7,60,0,81.62,100,80,62.07,52.63,28.57,44.61,25,29.82,66.47,81.93,5.59,-10.12,-7.48,2842,0.03,135.09,105.14,120.09,105.14,122.74,151.71,-5.7,-7.16,1.26,11.33,7.25,15.31,4.25,12.23,0.42,18.79,6.51,0.09,96.17,198.59,274.45,1.11,4,0
Agni Green,,AGNI,Electric Equipment,52.1,101.78,29.97,267.83,3.3,0,0.29,84.7,19.75,0,74.45,100,74.29,44.83,47.37,9.52,34.75,65,36.8,,163.8,101.94,-31.54,-27.69,92500,0.48,71.44,37.45,71.61,37.45,43.72,54.04,-27.24,-28.12,1.03,0.29,0.19,5.48,0.85,1.25,2.89,1172.25,45.53,1.61,101.84,70.73,97.75,1.23,2,0
Hisar Met.Inds.,590018,HISARMETAL,Steel - Medium / Small,189.6,101.68,40.31,15.72,1.7,0.53,1.34,251.9,131.1,0,73.48,100,68.57,48.28,21.05,14.29,18.8,60,-12.52,19.95,34.75,-6.62,-10.71,-14.59,31928,0.61,191.44,212.05,155.67,181.65,212.05,262.12,21.79,11.84,0.54,29.55,11.98,11.19,4.11,11.31,0.42,13.7,10.46,1.5,103.41,343.11,474.17,1.06,2,1
Celebrity Fash.,532695,CELEBRITY,Textiles - Products,17.95,101.62,65.8,56.46,2.99,0,1.98,23.95,12,0,32.95,10,45.71,44.83,18.42,14.29,17.04,60,-29.81,37.87,33.96,1.13,7.49,-14.73,128569,0.23,18.14,19.6,14.94,16.79,19.6,24.23,20.14,9.19,0.46,1.77,0.33,10.12,1.11,5.93,0.3,6.25,8.44,0.35,101.74,31.71,43.83,1.07,1,1
Guj. Toolroom,513337,,Engineering,18.27,101.5,206.14,5.76,1.31,5.47,0,62.97,11.18,0,33.45,0,57.14,44.83,50,76.19,58.73,5,36.8,187.35,4.64,-64.53,-67.43,-34.59,1038632,1.9,50.72,21.2,53.24,21.2,24.75,30.59,-65.68,16.03,-0.24,0.19,3.17,,7.16,42.12,0.18,,4.84,0.92,206.14,40.04,55.33,1.32,4,0
Vinny Overseas,543670,VINNY,Textiles - Processing,4.4,101.39,29.02,28.64,3.27,0,0.5,6.45,2.42,0,73.48,100,68.57,48.28,36.84,19.05,30.91,30,36.8,49.76,-28.46,15.79,-21.43,0,1265827,0.56,6.07,4.59,5.45,4.59,5.36,6.62,-19.31,4.28,-0.22,0.17,0.15,12.99,5.49,11.97,0.9,37.04,10.86,1.92,103.16,8.67,11.98,1.12,2,0
Biofil Chemicals,524396,BIOFILCHEM,Pharmaceuticals - Indian - Formulations,62.55,101.31,52.03,142.69,5.59,0,0.02,79,41.05,0,54.14,80,62.86,13.79,44.74,42.86,44.11,85,8.45,-3.8,41.68,16.59,-4.65,-11.15,23438,0.15,62.61,69.28,50.93,59.35,69.28,85.64,22.82,10.76,0.47,0.5,0.44,4.94,1.81,4,2.53,-577.11,76.52,0.28,97.84,112.1,154.92,1.06,0,1
Enfuse,,ENFUSE,Computers - Software - Medium / Small,114.4,101.21,27.73,18.88,3.17,0,0.28,141,97.5,0,76.59,100,68.57,58.62,55.26,9.52,40.02,0,36.8,,,,,-10.94,108000,1.24,151.61,184.86,119.2,184.86,215.81,266.76,-4.03,61.6,-15.28,4963.83,6.06,86.4,46.01,82.84,2.54,-136.66,11.64,4.46,104.94,349.19,482.57,1.03,5,1
